BattlefyName,IGN,Pokepaste
Sunflasher,Zaboo,"=HYPERLINK(""https://pokepast.es/0ccf77ca383a7976"")"
NayeonLove,나연♥︎,"=HYPERLINK(""https://pokepast.es/c119bf77eb92baa9"")"
ColdingLight,ColdingLight,"=HYPERLINK(""https://pokepast.es/252a2c5c28a5e6b6"")"
Hugo Negrete,Hugo,"=HYPERLINK(""https://pokepast.es/6fdfa73b37224b9b"")"
rross9077,heKtikVGC,"=HYPERLINK(""https://pokepast.es/bea18098547f7ffd"")"
abriel17,abriel,"=HYPERLINK(""https://pokepast.es/fc270703854afc21"")"
danishali515,Scythee,"=HYPERLINK(""https://pokepast.es/ea56281ac661cb94"")"
sodamario44,Sodamario,"=HYPERLINK(""https://pokepast.es/64180f23e67d942c"")"
johnpeezy13r,John Paul,"=HYPERLINK(""pokepast.es/e7117c1260fe3894"")"
ncarney315,Noah,"=HYPERLINK(""https://pokepast.es/9afd1f71248c766a"")"
masatama83,バイオレット,"=HYPERLINK(""https://pokepast.es/f890e013aff3f1f8"")"
timedwards,TSE,"=HYPERLINK(""https://pokepast.es/63d5c3f1fe2365cc"")"
BelugaVGC,Beluga,"=HYPERLINK(""https://pokepast.es/709e49e89b86f8c5"")"
Ad0,東雲青空,"=HYPERLINK(""https://pokepast.es/9d90ddae5ccf7d49"")"
Brxy5,Brayden,"=HYPERLINK(""https://pokepast.es/3ecdbc5898a296f5"")"
Jeanz1214,Doggo,"=HYPERLINK(""https://pokepast.es/92670d0ed1cecf6a"")"
franciscoj2herrera,BIO,"=HYPERLINK(""https://pokepast.es/e9bdf0f2b0d943ec"")"
thebigmacky,thebigmacky,"=HYPERLINK(""https://pokepast.es/fc2183ec4c7c1352"")"
UndeadParadox,Doxy,"=HYPERLINK(""https://pokepast.es/c63d9eadc669fd03"")"
bennyvasquez87,Benny,"=HYPERLINK(""https://pokepast.es/e944d675465df030"")"
dickynicholas262002,Nicholas,"=HYPERLINK(""https://pokepast.es/1117b739597f8bf8"")"
Shmon,Shmon,"=HYPERLINK(""https://pokepast.es/f25591473da83ceb"")"
KokoroBlue,スカーレット,"=HYPERLINK(""https://pokepast.es/543c3da60d388d3d"")"
Jonynho,Jonynho,"=HYPERLINK(""https://pokepast.es/7683fed1720d9465"")"
CatacombKid,CatacombKid,"=HYPERLINK(""https://pokepast.es/3b4c10dbee8b79a8"")"
fgyt4334,실크,"=HYPERLINK(""https://pokepast.es/b14453897b9ac35a"")"
lucadonkey9,0-x in swiss,"=HYPERLINK(""https://pokepast.es/b623c7ba8a284b95"")"
jaylunyang,血汗涙,"=HYPERLINK(""https://pokepast.es/50c9fbd2e804711a"")"
Joseph_Gambit,Joseph,"=HYPERLINK(""https://pokepast.es/9fe77ed0018072f7"")"
cochiselabrie,Cochamo,"=HYPERLINK(""https://pokepast.es/589f3b537b7e1a5d"")"
MandoVgc,Mando,"=HYPERLINK(""https://pokepast.es/77345313c91bca48"")"
Snaf69,Zach,"=HYPERLINK(""https://pokepast.es/bb91280bd7553d2e"")"
TengenVGC,iMTengen,"=HYPERLINK(""https://pokepast.es/9329f212121df671"")"
kkyytsukide9,ストレリチア,"=HYPERLINK(""https://pokepast.es/2b5d9c7803643060"")"
audricdavid11,DricsVG,"=HYPERLINK(""https://pokepast.es/4218d9fbf83961af"")"
Francesco Pardini,AlexisVGC,"=HYPERLINK(""https://pokepast.es/232c0443db39aa00"")"
OuFu,小夫,"=HYPERLINK(""https://pokepast.es/114a8bc42adec6a6"")"
COM3941,バイオレット,"=HYPERLINK(""https://pokepast.es/3ba7b3f7fe3cee2a"")"
StriiderVGC,Father Dijon,"=HYPERLINK(""https://pokepast.es/0f3f6ed7ec91354a"")"
JhintingVGC,Kirin,"=HYPERLINK(""https://pokepast.es/cf6db29fd53975d1"")"
Xpartaz,Xpartaz,"=HYPERLINK(""https://pokepast.es/5f30cb51736ad15f"")"
raucam21,Rayko,"=HYPERLINK(""https://pokepast.es/cbc47a96a5e7c857"")"
RonaldoSIUUUUU,tina,"=HYPERLINK(""https://pokepast.es/168459204f5b7e2e"")"
Just a loaf of bread ,bread,"=HYPERLINK(""https://pokepast.es/c0ef98c803d1816c"")"
Yukino99,落花人独立,"=HYPERLINK(""https://pokepast.es/b7a98cb8f84f9627"")"
Astora_,Astora,"=HYPERLINK(""https://pokepast.es/c43e4fb4cfdfb3cc"")"
unpinguinfurtif,Didi,"=HYPERLINK(""https://pokepast.es/ced6875403d9d342"")"
nilsschlatter,Darthnius,"=HYPERLINK(""https://pokepast.es/3181b0e09b8f8950"")"
CharlieMoon,Charlie,"=HYPERLINK(""https://pokepast.es/da512cb56837bfbd"")"
frieber,Frieber,"=HYPERLINK(""https://pokepast.es/d0c9a07dfff0b826"")"
Penglin,Penglin,"=HYPERLINK(""https://pokepast.es/6c8572859ab2d7c6"")"
Pedro Pica Piedra,Pedro,"=HYPERLINK(""https://pokepast.es/0e71d470f3f77160"")"
5ft5,Ian,"=HYPERLINK(""https://pokepast.es/eaf5345b6a554583"")"
Megumi~,Megumi~,"=HYPERLINK(""https://pokepast.es/94f6419cbaaab8bf"")"
Ángel232,ANGEL.,"=HYPERLINK(""https://pokepast.es/cfa73aac8ccbe1bc"")"
Goodra526TW,萊恩,"=HYPERLINK(""https://pokepast.es/134bb22184496420"")"
arubega,アルベガ,"=HYPERLINK(""https://pokepast.es/5d2505b1001fcc8d"")"
Ste,Ste,"=HYPERLINK(""https://pokepast.es/9f4142fbdf3f7697"")"
TheBardo,TheBardo,"=HYPERLINK(""https://pokepast.es/0aabcac17ce9b9b7"")"
GonesTR,GonesTR,"=HYPERLINK(""https://pokepast.es/e7a89bba0bfa0efc"")"
Jo Lin,蘇鼻濃湯,"=HYPERLINK(""https://pokepast.es/4233a1ccd0aad8d6"")"
liamwestland79,WestyLiam,"=HYPERLINK(""https://pokepast.es/3dd5af7ab53bf108"")"
Giottas,Giottas,"=HYPERLINK(""https://pokepast.es/2d2c457030156925"")"
AuraRayquaza,Taran,"=HYPERLINK(""https://pokepast.es/9aebb27bc0b41679"")"
ICJ236,バイオレット,"=HYPERLINK(""https://pokepast.es/1f44c1bd934a72c0"")"
ollienk,OllieNK,"=HYPERLINK(""https://pokepast.es/0849893f30027b07"")"
fuschio29,NikyuAlex,"=HYPERLINK(""https://pokepast.es/def8f9b16809ffae"")"
wurth10593,blakki,"=HYPERLINK(""https://pokepast.es/0f642b2203635f2e"")"
Xenoblade_Hero,#1RalseiFan,"=HYPERLINK(""https://pokepast.es/d03a9966d7922b0b"")"
1220785775,lily,"=HYPERLINK(""https://pokepast.es/efacd37db882bacd"")"
zeen34lan,ナンス,"=HYPERLINK(""https://pokepast.es/75998d6e05ae86e5"")"
愛国心,ビエラ←ガチ,"=HYPERLINK(""https://pokepast.es/5fc7c49b24483ca9"")"
axelpower0000,Alex,"=HYPERLINK(""https://pokepast.es/00b57777c363194a"")"
DerBlaueStuhl,waz00,"=HYPERLINK(""https://pokepast.es/c67010deed224f25"")"
LenVGC,LenVGC,"=HYPERLINK(""https://pokepast.es/d510eb3b7f3b43c7"")"
TheSubZero,SubZero,"=HYPERLINK(""https://pokepast.es/d9bfcddab8731c28"")"
rayde,Raydevy,"=HYPERLINK(""https://pokepast.es/275d99f2287fdac3"")"
Genius_,Genius,"=HYPERLINK(""https://pokepast.es/b77e62d925951b9a"")"
HarriesVGC,Pendragon,"=HYPERLINK(""https://pokepast.es/84268cb5f9bbae6b"")"
DuckiiVG,Doom Duck,"=HYPERLINK(""https://pokepast.es/3cdb19fbf6449db9"")"
giuliotarlao,Giulio,"=HYPERLINK(""https://pokepast.es/6d41a51f9e336914"")"
Comedier,Comedier,"=HYPERLINK(""https://pokepast.es/49a343ff47d35b64"")"
jaferlle,Lledó,"=HYPERLINK(""https://pokepast.es/ea807a20e9c5a65f"")"
记录指针,记录指针,"=HYPERLINK(""https://pokepast.es/4597f306927766e9"")"
peppemusicco,Peppe,"=HYPERLINK(""https://pokepast.es/dfc8ca82a90912e1"")"
a0938785189,Wavvvy,"=HYPERLINK(""https://pokepast.es/7e07ac6c44084fd0"")"
canary255,Ismael,"=HYPERLINK(""https://pokepast.es/501adadbae5ce4fc"")"
aaponiemiranta03,Aapo,"=HYPERLINK(""https://pokepast.es/f5418cb31f16c7b8"")"
nicopolla1999,nik,"=HYPERLINK(""https://pokepast.es/7de206cf7665aab0"")"
Xeb41,Xeb41,"=HYPERLINK(""https://pokepast.es/e556918f95b92901"")"
benbau23,Benni,"=HYPERLINK(""https://pokepast.es/c6c2ca5fdeb458a3"")"
mikaelviljanen,maikkeli,"=HYPERLINK(""https://pokepast.es/2c0d1fcd207bcae1"")"
simon_bernard,Ryo,"=HYPERLINK(""https://pokepast.es/4fbfe3adb48d996c"")"
danielacorn ,DanielAcorn,"=HYPERLINK(""https://pokepast.es/947b6bc6281ca125"")"
meak104,シュン,"=HYPERLINK(""https://pokepast.es/cf882fb6f958029f"")"
thiago_lattanzi,Kleber Bambam,"=HYPERLINK(""https://pokepast.es/cc674042ddc01cc4"")"
Hirohiro,cotton,"=HYPERLINK(""https://pokepast.es/f9fe2b20f377fe76"")"
MattieMooMoo,Mattie,"=HYPERLINK(""https://pokepast.es/be9e11bb45cf1638"")"
32knpoke3710,みつかん。,"=HYPERLINK(""https://pokepast.es/5301b8dcce5143f5"")"
robertinoparente,Roberto,"=HYPERLINK(""https://pokepast.es/b8309c6eac18d859"")"
simonedifelix,Difelix,"=HYPERLINK(""https://pokepast.es/239ea4ae123e6bc4"")"
Lightoz,Jannik,"=HYPERLINK(""https://pokepast.es/f09bc692292e1b89"")"
たさあは,yuto,"=HYPERLINK(""https://pokepast.es/dabb0c379511d397"")"
pparralopez123,Pepe,"=HYPERLINK(""https://pokepast.es/b2fe2130ff598107"")"
RedJoiker,Red,"=HYPERLINK(""https://pokepast.es/602d07ec91615305"")"
TheBaiel8,TheBaiel,"=HYPERLINK(""https://pokepast.es/d51744b543a99e61"")"
Sirox185,Sirox,"=HYPERLINK(""https://pokepast.es/76191aaa7986f968"")"
