BattlefyName,IGN,Pokepaste
RhettPlays,Rhett,"=HYPERLINK(""https://pokepast.es/557d2f0690a62fee"")"
Sirox185,Sirox,"=HYPERLINK(""https://pokepast.es/c89c891624b62088"")"
tibbins07,Tibbins07,"=HYPERLINK(""https://pokepast.es/e9867f2591546b6d"")"
giuliogilberti9696,Tosahka,"=HYPERLINK(""https://pokepast.es/6ac2c16b8654be02"")"
innivationsinc,Tom,"=HYPERLINK(""https://pokepast.es/bff1820707e038c2"")"
MidoMidori,Roxy,"=HYPERLINK(""https://pokepast.es/682ed6e43b621a36"")"
thiago_lattanzi,VOVOMAXBEN10,"=HYPERLINK(""https://pokepast.es/d5baf4b34cc4e58e"")"
LeviathanDrake,Lore,"=HYPERLINK(""https://pokepast.es/193bb85a782e1c34"")"
danishali515,Scythee,"=HYPERLINK(""https://pokepast.es/0ea19db85bea5ca9"")"
healingblade12,Dr. Pepper,"=HYPERLINK(""https://pokepast.es/5f1fa1ed6b04ecf9"")"
Ste,Ste,"=HYPERLINK(""https://pokepast.es/726fa3e447b61f21"")"
TheSubZero,RoiRehh,"=HYPERLINK(""https://pokepast.es/b4ed69c1e1c67a4c"")"
billcabrera25,Billcd,"=HYPERLINK(""https://pokepast.es/e444e882b5ebc6dd"")"
danielcorrales357,DaniCorral,"=HYPERLINK(""https://pokepast.es/b69a63aa9d50e470"")"
rajdesai0727,Raj,"=HYPERLINK(""https://pokepast.es/b1bd2e6d881e4352"")"
FleetFox,Fox,"=HYPERLINK(""https://pokepast.es/ec92bbfe84d7f52f"")"
natspann,Nat,"=HYPERLINK(""https://pokepast.es/37b001e27b607722"")"
17cats,Scarlet,"=HYPERLINK(""https://pokepast.es/236e23d2033fd545"")"
Brunopcx360,Brunopcx,"=HYPERLINK(""https://pokepast.es/a502616afcd8ed4b"")"
alexjahnke152100,Alex,"=HYPERLINK(""https://pokepast.es/cb78f247279080e8"")"
jacobmortenson1,Jacob,"=HYPERLINK(""https://pokepast.es/330cd74cb263e781"")"
MrKaze,Kaze,"=HYPERLINK(""https://pokepast.es/0f67e4e2d8dacea0"")"
Roto,Roto,"=HYPERLINK(""https://pokepast.es/563181257f67a740"")"
fede_guitin,FEDE,"=HYPERLINK(""https://pokepast.es/e768fce008016bc7"")"
colossalkoala,Andrew,"=HYPERLINK(""https://pokepast.es/a70f4c306bde9e18"")"
RaginDevonian,Ragin,"=HYPERLINK(""https://pokepast.es/c77164c806b23ce5"")"
officialvanderon500,Vander,"=HYPERLINK(""https://pokepast.es/7c042e692dd27fb6"")"
ncarney315,Noah,"=HYPERLINK(""https://pokepast.es/a2b1a8fa885a5884"")"
SHG Al,Al,"=HYPERLINK(""https://pokepast.es/9d44b68b0a1dc945"")"
alphamystogan1221,Myst,"=HYPERLINK(""https://pokepast.es/ef36962654e2a576"")"
FedeCampoVGC,FedeCampoVGC,"=HYPERLINK(""https://pokepast.es/72c39850d473a70b"")"
Kandai Nagatome,Candy,"=HYPERLINK(""https://pokepast.es/38a8f6e53aea7094"")"
td5611,Tyler,"=HYPERLINK(""https://pokepast.es/f479ce982b92968d"")"
Daibaa,Donita❤️,"=HYPERLINK(""https://pokepast.es/540f72b3e1808f32"")"
MugiwaraLux,lux,"=HYPERLINK(""https://pokepast.es/8129218bc1642e99"")"
